,CPU Usage,Memory Usage (GB),GPU Usage (GB)
0,18.3,7.5742,0.3027
1,14.9,7.9325,0.3965
2,17.6,7.9708,0.3965
3,13.0,7.9738,0.3965
4,20.6,7.898,0.3965
5,13.1,7.9001,0.3965
6,17.8,7.8942,0.3965
7,13.9,7.8949,0.3965
8,13.1,7.8997,0.3965
9,18.0,7.9117,0.3965
10,13.2,7.8994,0.3965
11,18.1,7.8965,0.3965
12,18.7,7.9074,0.3965
13,17.0,7.9264,0.3965
14,14.7,7.8974,0.3965
15,13.1,7.899,0.3965
16,18.5,7.8419,0.3965
17,13.1,7.8221,0.3965
18,18.5,7.8384,0.3965
19,13.4,7.9231,0.3965
20,16.0,7.9416,0.3965
21,15.1,7.9222,0.3965
22,13.0,7.9087,0.3965
23,18.3,7.9328,0.3965
24,13.1,7.9448,0.3965
25,18.5,7.9438,0.3965
26,13.0,7.9218,0.3965
27,15.3,7.958,0.3965
28,16.1,7.9363,0.3965
29,13.1,7.9404,0.3965
30,18.4,7.9403,0.3965
31,13.3,7.9332,0.3965
32,18.4,7.9501,0.3965
33,13.1,7.9278,0.3965
34,14.1,7.8561,0.3965
35,17.7,7.8151,0.3965
36,13.2,7.8276,0.3965
37,18.6,7.9374,0.3965
38,13.1,7.9313,0.3965
39,18.0,7.9438,0.3965
40,13.5,7.9354,0.3965
41,13.1,7.9249,0.3965
42,18.1,7.9385,0.3965
43,13.4,7.9339,0.3965
44,18.2,7.953,0.3965
45,13.0,7.952,0.3965
46,17.0,7.9537,0.3965
47,14.5,7.9463,0.3965
48,13.1,7.9619,0.3965
49,18.3,7.9481,0.3965
50,13.3,7.9169,0.3965
51,18.5,7.9361,0.3965
52,13.3,7.9469,0.3965
53,16.1,7.8562,0.3965
54,15.7,7.8433,0.3965
55,13.3,7.8295,0.3965
56,18.5,7.9173,0.3965
57,13.1,7.9309,0.3965
58,18.5,7.9487,0.3965
59,13.1,7.9483,0.3965
60,14.7,7.9524,0.3965
61,22.6,7.95,0.3965
62,13.1,7.9458,0.3965
63,18.3,7.9362,0.3965
64,13.2,7.9189,0.3965
65,18.2,7.932,0.3965
66,13.2,7.9221,0.3965
67,13.3,7.9081,0.3965
68,18.2,7.943,0.3965
69,13.1,7.9449,0.3965
70,18.3,7.9346,0.3965
71,13.3,7.84,0.3965
72,17.1,7.8635,0.3965
73,14.5,7.8402,0.3965
74,13.3,7.9307,0.3965
75,18.4,7.9229,0.3965
76,13.1,7.9114,0.3965
77,18.4,7.9386,0.3965
78,13.1,7.9296,0.3965
79,16.1,7.9325,0.3965
80,15.4,7.9285,0.3965
81,13.2,7.9413,0.3965
82,18.3,7.9343,0.3965
83,13.1,7.9568,0.3965
84,18.2,7.9175,0.3965
85,13.4,7.9273,0.3965
86,14.9,7.9504,0.3965
87,16.4,7.9311,0.3965
88,13.2,7.9094,0.3965
89,18.1,7.9234,0.3965
90,13.3,7.8371,0.3965
91,18.3,7.8388,0.3965
92,13.3,7.9314,0.3965
93,14.3,7.9355,0.3965
94,17.1,7.9237,0.3965
95,13.1,7.922,0.3965
96,18.3,7.9517,0.3965
97,13.2,7.9383,0.3965
98,18.2,7.9588,0.3965
99,13.2,7.9508,0.3965
100,13.5,7.9375,0.3965
101,17.9,7.8987,0.3965
102,13.2,7.9101,0.3965
103,18.3,7.9469,0.3965
104,13.1,7.9221,0.3965
105,17.6,7.964,0.3965
106,13.7,7.9608,0.3965
107,13.0,7.9398,0.3965
108,18.5,7.8464,0.3965
109,18.6,7.8438,0.3965
110,18.5,7.8562,0.3965
111,13.3,7.9254,0.3965
112,16.3,7.9597,0.3965
113,15.2,7.9269,0.3965
114,13.1,7.9399,0.3965
115,18.8,7.9357,0.3965
116,13.1,7.9482,0.3965
117,18.3,7.9335,0.3965
118,13.0,7.9356,0.3965
119,15.3,7.96,0.3965
120,16.2,7.9488,0.3965
121,13.3,7.9312,0.3965
122,18.2,7.9411,0.3965
123,13.1,7.9322,0.3965
124,18.3,7.9234,0.3965
125,13.2,7.9305,0.3965
126,14.0,7.9351,0.3965
127,17.9,7.8135,0.3965
128,13.1,7.8274,0.3965
129,18.6,7.9208,0.3965
130,13.0,7.9344,0.3965
131,17.7,7.9219,0.3965
132,13.6,7.9026,0.3965
133,13.2,7.9041,0.3965
134,18.4,7.9533,0.3965
135,13.0,7.9526,0.3965
136,18.3,7.9251,0.3965
137,13.1,7.9236,0.3965
138,16.5,7.9649,0.3965
139,15.0,7.9359,0.3965
140,13.1,7.9295,0.3965
141,18.0,7.9372,0.3965
142,13.2,7.9242,0.3965
143,18.2,7.9209,0.3965
144,13.1,7.9175,0.3965
145,16.0,7.8578,0.3965
146,15.6,7.8413,0.3965
147,13.0,7.825,0.3965
148,18.7,7.945,0.3965
149,13.1,7.935,0.3965
150,18.3,7.9396,0.3965
151,13.2,7.9639,0.3965
152,14.7,7.9399,0.3965
153,16.8,7.9443,0.3965
154,13.1,7.9497,0.3965
