,CPU Usage,Memory Usage (GB),GPU Usage (GB)
0,16.8,7.4563,0.3223
1,14.9,8.0805,0.418
2,13.2,8.0784,0.418
3,16.1,8.136,0.418
4,15.2,8.1146,0.418
5,13.1,8.1029,0.418
6,17.9,8.1056,0.418
7,13.1,8.0965,0.418
8,18.3,8.1046,0.418
9,13.1,8.1024,0.418
10,15.3,8.1318,0.418
11,16.2,8.1072,0.418
12,13.1,8.0985,0.418
13,18.4,8.0986,0.418
14,13.1,8.1084,0.418
15,18.2,8.1116,0.418
16,13.0,8.1103,0.418
17,14.0,8.0853,0.418
18,17.1,8.1157,0.418
19,13.2,8.1036,0.418
20,18.2,8.0885,0.418
21,13.1,8.0951,0.418
22,18.0,8.1013,0.418
23,13.5,8.1011,0.418
24,13.1,8.088,0.418
25,18.1,8.1318,0.418
26,13.2,8.1265,0.418
27,18.2,8.0752,0.418
28,13.0,8.0759,0.418
29,17.0,8.0984,0.418
30,14.6,8.1074,0.418
31,13.1,8.0899,0.418
32,18.6,8.0998,0.418
33,13.0,8.1035,0.418
34,18.3,8.0993,0.418
35,13.1,8.0888,0.418
36,15.7,8.1131,0.418
37,15.5,8.0886,0.418
38,13.2,8.0946,0.418
39,18.3,8.1041,0.418
40,13.2,8.1069,0.418
41,18.0,8.1087,0.418
42,13.1,8.1011,0.418
43,14.9,8.1151,0.418
44,16.4,8.0984,0.418
45,12.9,8.098,0.418
46,18.2,8.1067,0.418
47,13.0,8.0988,0.418
48,18.4,8.1004,0.418
49,13.0,8.1011,0.418
50,14.0,8.1155,0.418
51,17.5,8.1039,0.418
52,13.1,8.0953,0.418
53,18.2,8.0814,0.418
54,13.0,8.0819,0.418
55,17.7,8.1202,0.418
56,13.7,8.0897,0.418
57,13.0,8.0788,0.418
58,18.1,8.1003,0.418
59,13.0,8.1122,0.418
60,18.2,8.0993,0.418
61,13.1,8.0904,0.418
62,16.6,8.1066,0.418
63,14.6,8.0899,0.418
64,13.0,8.0911,0.418
65,18.3,8.0919,0.418
66,13.2,8.0822,0.418
67,18.2,8.0985,0.418
68,13.2,8.0981,0.418
